tconst,titleType,startYear,runtimeMinutes,averageRating,numVotes,Adventure,Animation,Family,Mystery,Horror,Musical,Comedy,Fantasy,Documentary,War,Crime,Film-Noir,Romance,Action,Drama,Thriller,Sci-Fi,Western,History,Biography,title,language
tt0035423,movie,2001,118,6.4,89591,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,Kate et Léopold,fr
tt0052698,movie,1960,103,7.5,4496,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,Classe tous risques,fr
tt0052811,movie,1960,94,6.9,2370,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,Impasse aux Violences,fr
tt0052832,movie,1960,119,7.1,7253,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,The Fugitive Kind,fr
tt0052997,movie,1960,116,7.2,5343,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,Colonel Hyde contre Scotland Yard,fr
tt0053459,movie,1960,90,7.6,35696,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Les yeux sans visage,fr
tt0053472,movie,1960,90,7.7,88709,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,À bout de souffle,fr
tt0053559,movie,1960,85,6,7380,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13 Ghosts,fr
tt0053580,movie,1960,162,6.8,17978,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Alamo,fr
tt0053604,movie,1960,125,8.3,199098,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,La garçonnière,fr
tt0053619,movie,1960,144,7.7,32950,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,L'avventura,fr
tt0053622,movie,1960,109,6.3,7381,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Vénus au vison,fr
tt0053645,movie,1960,126,6.9,3845,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Bells Are Ringing,fr
tt0053677,movie,1960,85,6.6,8992,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Les maîtresses de Dracula,fr
tt0053690,movie,1960,131,6.3,2570,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Can-Can,fr
tt0053699,movie,1960,86,6.2,2859,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Carry on Constable,fr
tt0053715,movie,1960,147,6.4,3470,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,La Ruée vers l'Ouest,fr
tt0053717,movie,1960,88,6,2449,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Le cirque des horreurs,fr
tt0053719,movie,1960,76,6.7,8650,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,La cité des morts,fr
tt0053729,movie,1960,73,7,4509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,La prisonnière des comanches,fr
tt0053779,movie,1960,174,8,78886,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,La dolce vita,fr
